db00349,g0,2
db00361,g1,2
db01136,g2,2
db00542,g3,2
db01097,g4,2
db00555,g5,2
db01149,g6,2
db00519,g7,2
db00758,g8,2
db00441,g9,2
db00197,g10,2
db01132,g11,2
db00549,g12,2
db00688,g13,2
db01095,g14,2
db00814,g15,2
db01248,g16,2
db00334,g17,2
db13919,g18,2
db00966,g19,2
db00559,g20,2
db00439,g21,2
db00412,g22,2
db00950,g23,2
db00471,g24,2
db00523,g25,2
db00533,g26,2
db00967,g27,2
db00317,g28,2
db00398,g29,2
db01268,g30,2
db00482,g31,2
db00203,g32,2
db01098,g33,2
db00177,g34,2
db00619,g35,2
db01261,g36,2
db01076,g37,2
db00530,g38,2
db01224,g39,2
db00973,g40,2
db01254,g41,2
db00285,g42,2
db01193,g43,2
db00316,g44,2
db00819,g45,2
db03128,g46,2
db00640,g47,2
db00437,g48,2
db00915,g49,2
db00594,g50,2
db01118,g51,2
db00321,g52,2
db00182,g53,2
db00276,g54,2
db01435,g55,2
db00945,g56,2
db00443,g57,2
db01393,g58,2
db00810,g59,2
db01200,g60,2
db00887,g61,2
db00921,g62,2
db00490,g63,2
db00201,g64,2
db00564,g65,2
db01327,g66,2
db01212,g67,2
db00446,g68,2
db00608,g69,2
db01114,g70,2
db00477,g71,2
db00672,g72,2
db00122,g73,2
db00501,g74,2
db00537,g75,2
db00845,g76,2
db00882,g77,2
db01242,g78,2
db00575,g79,2
db00257,g80,2
db00363,g81,2
db00907,g82,2
db01394,g83,2
db00987,g84,2
db00694,g85,2
db01151,g86,2
db01234,g87,2
db00514,g88,2
db00829,g89,2
db00586,g90,2
db00255,g91,2
db00861,g92,2
db01396,g93,2
db00390,g94,2
db00320,g95,2
db00343,g96,2
db01075,g97,2
db00280,g98,2
db01184,g99,2
db00988,g100,2
db01142,g101,2
db00997,g102,2
db00254,g103,2
db00584,g104,2
db00668,g105,2
db00696,g106,2
db00199,g107,2
db00783,g108,2
db01196,g109,2
db00655,g110,2
db00903,g111,2
db00977,g112,2
db00773,g113,2
db00813,g114,2
db00544,g115,2
db00472,g116,2
db00875,g117,2
db00623,g118,2
db00690,g119,2
db00712,g120,2
db00158,g121,2
db00695,g122,2
db01016,g123,2
db09462,g124,2
db00502,g125,2
db00741,g126,2
db01050,g127,2
db00458,g128,2
db00328,g129,2
db00602,g130,2
db01221,g131,2
db01026,g132,2
db01009,g133,2
db01235,g134,2
db00281,g135,2
db00836,g136,2
db00227,g137,2
db00934,g138,2
db00643,g139,2
db01065,g140,2
db01043,g141,2
db00371,g142,2
db00333,g143,2
db01577,g144,2
db00134,g145,2
db00563,g146,2
db00968,g147,2
db00959,g148,2
db00264,g149,2
db01011,g150,2
db01110,g151,2
