hsa-mir-15a-5p,m0,0
hsa-mir-16-5p,m1,0
hsa-mir-143-5p,m2,0
hsa-mir-145-5p,m3,0
hsa-mir-223-5p,m4,0
hsa-mir-29a-5p,m5,0
hsa-mir-29c-5p,m6,0
hsa-mir-10b-5p,m7,0
hsa-mir-125b-1-3p,m8,0
hsa-mir-125b-2-3p,m9,0
hsa-mir-10a-5p,m10,0
hsa-mir-126-5p,m11,0
hsa-mir-17-5p,m12,0
hsa-let-7a-2-3p,m13,0
hsa-let-7b-5p,m14,0
hsa-let-7c-5p,m15,0
hsa-let-7d-5p,m16,0
hsa-let-7e-5p,m17,0
hsa-let-7f-1-3p,m18,0
hsa-let-7f-2-3p,m19,0
hsa-let-7g-5p,m20,0
hsa-let-7i-5p,m21,0
hsa-mir-181a-2-3p,m22,0
hsa-mir-181b-2-3p,m23,0
hsa-mir-181d-5p,m24,0
hsa-mir-155-5p,m25,0
hsa-mir-15b-5p,m26,0
hsa-mir-16-1-3p,m27,0
hsa-mir-16-2-3p,m28,0
hsa-mir-125a-5p,m29,0
hsa-mir-99b-5p,m30,0
hsa-mir-127-5p,m31,0
hsa-mir-130a-5p,m32,0
hsa-mir-144-5p,m33,0
hsa-mir-148a-5p,m34,0
hsa-mir-148b-5p,m35,0
hsa-mir-152-5p,m36,0
hsa-mir-150-5p,m37,0
hsa-mir-221-5p,m38,0
hsa-mir-128-1-5p,m39,0
hsa-mir-128-2-5p,m40,0
hsa-mir-96-5p,m41,0
hsa-let-7a-5p,m42,0
hsa-mir-30b-5p,m43,0
hsa-mir-30c-5p,m44,0
hsa-mir-222-5p,m45,0
hsa-mir-182-5p,m46,0
hsa-mir-183-5p,m47,0
hsa-mir-141-5p,m48,0
hsa-mir-200c-5p,m49,0
hsa-mir-18a-5p,m50,0
hsa-mir-19a-5p,m51,0
hsa-mir-19b-1-5p,m52,0
hsa-mir-19b-2-5p,m53,0
hsa-mir-20a-5p,m54,0
hsa-mir-92a-1-5p,m55,0
hsa-mir-92a-2-5p,m56,0
hsa-mir-200b-5p,m57,0
hsa-mir-34a-5p,m58,0
hsa-mir-337-5p,m59,0
hsa-mir-338-5p,m60,0
hsa-mir-210-5p,m61,0
hsa-mir-296-5p,m62,0
hsa-mir-30d-5p,m63,0
hsa-mir-324-5p,m64,0
hsa-mir-346,m65,0
hsa-mir-365a-5p,m66,0
hsa-mir-365b-5p,m67,0
hsa-mir-423-5p,m68,0
hsa-mir-484,m69,0
hsa-mir-486-5p,m70,0
hsa-mir-500a-5p,m71,0
hsa-mir-518b,m72,0
hsa-mir-557,m73,0
hsa-mir-596,m74,0
hsa-mir-602,m75,0
hsa-mir-611,m76,0
hsa-mir-615-5p,m77,0
hsa-mir-629-5p,m78,0
hsa-mir-637,m79,0
hsa-mir-642a-5p,m80,0
hsa-mir-654-5p,m81,0
hsa-mir-663a,m82,0
hsa-mir-769-5p,m83,0
